panel id,flat reference,foam reference,macrostructure reference,mesostructure reference,sand type,binder type
panel_0047_0,mean_flat_cg,mean_foam_2,panel_0015_0,Flemish_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0047_1,mean_flat_cg,mean_foam_2,panel_0015_1,Flemish_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0048_0,mean_flat_cg,mean_foam_2,panel_0015_0,Flemish_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0048_1,mean_flat_cg,mean_foam_2,panel_0015_1,Flemish_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0049_0,mean_flat_cg,mean_foam_2,panel_0015_0,Flemish_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0049_1,mean_flat_cg,mean_foam_2,panel_0015_1,Flemish_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0050_0,mean_flat_rfl_2,mean_foam_2,panel_0015_0,Flemish_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0050_1,mean_flat_rfl_2,mean_foam_2,panel_0015_1,Flemish_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0051_0,mean_flat_cg,mean_foam_2,panel_0015_0,Flemish_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0051_1,mean_flat_cg,mean_foam_2,panel_0015_1,Flemish_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0052_0,mean_flat_cg,mean_foam_2,panel_0015_0,Flemish_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0052_1,mean_flat_cg,mean_foam_2,panel_0015_1,Flemish_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0053_0,mean_flat_cg,mean_foam_2,panel_0015_0,Flemish_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0053_1,mean_flat_cg,mean_foam_2,panel_0015_1,Flemish_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0054_0,mean_flat_cg,mean_foam_2,panel_0015_0,Flemish_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0054_1,mean_flat_cg,mean_foam_2,panel_0015_1,Flemish_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0055_0,mean_flat_cg,mean_foam_2,panel_0015_0,Flemish_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0055_1,mean_flat_cg,mean_foam_2,panel_0015_1,Flemish_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0056_0,mean_flat_cg,mean_foam_2,panel_0015_0,Flemish_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0056_1,mean_flat_cg,mean_foam_2,panel_0015_1,Flemish_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0057_0,mean_flat_cg,mean_foam_2,panel_0015_0,Flemish_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0057_1,mean_flat_cg,mean_foam_2,panel_0015_1,Flemish_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0058_0,mean_flat_cg,mean_foam_2,panel_0015_0,Flemish_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0058_1,mean_flat_cg,mean_foam_2,panel_0015_1,Flemish_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0059_0,mean_flat_cg,mean_foam_2,panel_0015_0,Flemish_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0059_1,mean_flat_cg,mean_foam_2,panel_0015_1,Flemish_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0060_0,mean_flat_cg,mean_foam_2,panel_0015_0,Stretcher_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0060_1,mean_flat_cg,mean_foam_2,panel_0015_1,Stretcher_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0061_0,mean_flat_cg,mean_foam_2,panel_0015_0,Stretcher_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0061_1,mean_flat_cg,mean_foam_2,panel_0015_1,Stretcher_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0062_0,mean_flat_cg,mean_foam_2,panel_0015_0,Stretcher_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0062_1,mean_flat_cg,mean_foam_2,panel_0015_1,Stretcher_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0063_0,mean_flat_cg,mean_foam_2,panel_0015_0,Stretcher_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0063_1,mean_flat_cg,mean_foam_2,panel_0015_1,Stretcher_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0064_0,mean_flat_cg,mean_foam_2,panel_0015_0,Stretcher_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0064_1,mean_flat_cg,mean_foam_2,panel_0015_1,Stretcher_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0065_0,mean_flat_cg,mean_foam_2,panel_0015_0,Stretcher_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0065_1,mean_flat_cg,mean_foam_2,panel_0015_1,Stretcher_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0066_0,mean_flat_cg,mean_foam_2,panel_0015_0,Stretcher_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0066_1,mean_flat_cg,mean_foam_2,panel_0015_1,Stretcher_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0067_0,mean_flat_cg,mean_foam_2,flat,Stretcher_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0067_1,mean_flat_cg,mean_foam_2,flat,Stretcher_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0068_0,mean_flat_cg,mean_foam_2,flat,Stretcher_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0068_1,mean_flat_cg,mean_foam_2,flat,Stretcher_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0069_0,mean_flat_cg,mean_foam_2,flat,Stretcher_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0069_1,mean_flat_cg,mean_foam_2,flat,Stretcher_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0070_0,mean_flat_vj_ph,mean_foam_2,panel_0031_0,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0070_1,mean_flat_vj_ph,mean_foam_2,panel_0031_1,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0071_0,mean_flat_vj_ph,mean_foam_2,panel_0031_0,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0071_1,mean_flat_vj_ph,mean_foam_2,panel_0031_1,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0072_0,mean_flat_vj_ph,mean_foam_2,panel_0031_0,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0072_1,mean_flat_vj_ph,mean_foam_2,panel_0031_1,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0073_0,mean_flat_vj_ph,mean_foam_2,flat,IDL,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0074_0,mean_flat_vj_ph,mean_foam_2,flat,IDL,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0075_0,mean_flat_vj_ph,mean_foam_2,flat,IDL,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0076_0,mean_flat_vj_ph,mean_foam_2,flat,IDL,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0077_0,mean_flat_vj_ph,mean_foam_2,flat,IDL,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0078_0,mean_flat_vj_ph,mean_foam_2,flat,IDL,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0079_0,mean_flat_vj_ph,mean_foam_2,flat,IDL,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0080_0,mean_flat_vj_ph,mean_foam_2,flat,IDL,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0081_0,mean_flat_vj_ph,mean_foam_2,flat,IDL,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0082_0,mean_flat_vj_ph,mean_foam_2,flat,IDL,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0083_0,mean_flat_vj_ph,mean_foam_2,panel_0083_0,Macrostructure,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0083_1,mean_flat_vj_ph,mean_foam_2,panel_0083_1,Macrostructure,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0084_0,mean_flat_vj_ph,mean_foam_2,panel_0083_0,Polygonal_rubble_stones,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0084_1,mean_flat_vj_ph,mean_foam_2,panel_0083_1,Polygonal_rubble_stones,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0085_0,mean_flat_vj_ph,mean_foam_2,panel_0083_0,Polygonal_rubble_stones,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0085_1,mean_flat_vj_ph,mean_foam_2,panel_0083_1,Polygonal_rubble_stones,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0086_0,mean_flat_vj_ph,mean_foam_2,panel_0083_0,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0086_1,mean_flat_vj_ph,mean_foam_2,panel_0083_1,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0087_0,mean_flat_vj_ph,mean_foam_2,panel_0083_0,Coursed_ashlar_stones,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0087_1,mean_flat_vj_ph,mean_foam_2,panel_0083_1,Coursed_ashlar_stones,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0088_0,mean_flat_vj_ph,mean_foam_2,panel_0083_0,Coursed_ashlar_stones,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0088_1,mean_flat_vj_ph,mean_foam_2,panel_0083_1,Coursed_ashlar_stones,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0089_0,mean_flat_vj_ph,mean_foam_2,panel_0031_0,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0089_1,mean_flat_vj_ph,mean_foam_2,panel_0031_1,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0090_0,mean_flat_vj_ph,mean_foam_2,panel_0083_0,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0090_1,mean_flat_vj_ph,mean_foam_2,panel_0083_1,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0091_0,mean_flat_vj_ph,mean_foam_2,flat,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0091_1,mean_flat_vj_ph,mean_foam_2,flat,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0092_0,mean_flat_vj_ph,mean_foam_2,flat,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0092_1,mean_flat_vj_ph,mean_foam_2,flat,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0093_0,mean_flat_vj_ph,mean_foam_2,flat,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0093_1,mean_flat_vj_ph,mean_foam_2,flat,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0094_0,mean_flat_vj_ph,mean_foam_2,flat,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
